event,activity,term,variable,value,se,p,n
heat,Pick up,coef,age_5165,-0.20821460934094244,0.0735201992501847,0.004624721410836749,2564
heat,Pick up,coef,age_65p,-0.25102802782999567,0.0716008997874376,0.0004550080590263863,2564
heat,Pick up,coef,heat_imp_2,-0.03747592504197599,0.07117374018872101,0.5985120537399773,2564
heat,Pick up,coef,heat_imp_3,0.03146420484003104,0.07111449443936234,0.6581677064956046,2564
heat,Pick up,coef,heat_imp_4,0.016270954269519248,0.0856212450518332,0.8492824275230064,2564
heat,Pick up,coef,heat_imp_5,0.011559507595958666,0.10003952290703134,0.9080096611989654,2564
heat,Pick up,coef,hhveh0,-0.13536421756308273,0.07107534909166076,0.05684287208302752,2564
heat,Pick up,coef,work_out,0.20130217704877082,0.11340731744233612,0.07589178896958318,2564
heat,Pick up,threshold,threshold_1,-1.1095117299222865,,,2564
heat,Pick up,threshold,threshold_2,0.6600939924724101,,,2564
heat,Transit,coef,PR,-0.056947034721101346,0.02921686673821198,0.051281686564807305,2565
heat,Transit,coef,TransitAccess_high,-0.13055729986470174,0.0729032220602283,0.07332052951433259,2565
heat,Transit,coef,age_3150,-0.14074671467779037,0.07391971221826606,0.05690387236936253,2565
heat,Transit,coef,age_5165,-0.12813326563491573,0.07559654408950427,0.09008263952647,2565
heat,Transit,coef,age_65p,-0.1385217951464179,0.07567646437234325,0.06718305017749697,2565
heat,Transit,coef,heat_imp_2,-0.08853539420607992,0.07419014988732289,0.23272927385377074,2565
heat,Transit,coef,heat_imp_3,-0.11692860962568945,0.07391947809160625,0.11368664958992981,2565
heat,Transit,coef,heat_imp_4,-0.12486643701536397,0.08885741805071361,0.15994845514430667,2565
heat,Transit,coef,heat_imp_5,-0.13059517350973382,0.1032954325950269,0.2061266833595694,2565
heat,Transit,coef,hhveh0,0.31691318687372216,0.07338175065385956,1.569565709066849e-05,2565
heat,Transit,coef,in50100,0.11507459484964092,0.05168177104146442,0.025974066275421953,2565
heat,Transit,coef,tcom_no,-0.1780569277769274,0.05788389002334028,0.002097239246425726,2565
heat,Transit,coef,work_out,0.4769192314412402,0.11704486550757567,4.607959255484219e-05,2565
heat,Transit,threshold,threshold_1,-0.929781684116077,,,2565
heat,Transit,threshold,threshold_2,1.1836681303440453,,,2565
heat,Usual,coef,CR,0.08008043046692857,0.027085711981000994,0.0031109550300441944,2564
heat,Usual,coef,EmpDens_high,-0.09771827253964108,0.047691217875524564,0.04046423276374382,2564
heat,Usual,coef,NatWalkInd_low,-0.1607361572646006,0.061925694720555154,0.00944178276244451,2564
heat,Usual,coef,NetworkDensity_high,0.08265675431519341,0.04742753639819674,0.08136839466928812,2564
heat,Usual,coef,PR,0.18751703520429122,0.027066857469399994,4.270717827953992e-12,2564
heat,Usual,coef,PopDens_medium,0.09048941630643514,0.04740916361177159,0.056302040000248445,2564
heat,Usual,coef,SE,0.05402985693464276,0.02689913018382469,0.0445785294757546,2564
heat,Usual,coef,ac_c,0.22920195536940208,0.0618582952794373,0.00021116203993495973,2564
heat,Usual,coef,age_3150,0.08847135639776502,0.05169189247047853,0.08698641618393094,2564
heat,Usual,coef,age_65p,-0.191112537014413,0.054787065499573684,0.00048614161434026935,2564
heat,Usual,coef,dis_yes,-0.12231756935120831,0.05422990804676238,0.02409963650075589,2564
heat,Usual,coef,female,-0.09507665628754407,0.04449831722437341,0.032627701055623064,2564
heat,Usual,coef,heat_imp_2,-0.6614624161086708,0.06945121618876753,1.6642998296099578e-21,2564
heat,Usual,coef,heat_imp_3,-0.8989152826414647,0.06985184122342268,6.736798567927935e-38,2564
heat,Usual,coef,heat_imp_4,-1.110807776436652,0.0835628308542993,2.538919749267828e-40,2564
heat,Usual,coef,heat_imp_5,-1.0417656883814699,0.09801532566578831,2.1938095146792456e-26,2564
heat,Usual,coef,hhveh0,-0.13760145983945893,0.0669607479350253,0.03988315507231876,2564
heat,Usual,coef,tcom_no,0.09068402559953928,0.05333912018106989,0.08910440517834416,2564
heat,Usual,coef,work_out,0.30885202742418455,0.10897771198604268,0.00459572005113649,2564
heat,Usual,threshold,threshold_1,-2.1712340569786455,,,2564
heat,Usual,threshold,threshold_2,-1.4666537570713567,,,2564
heat,Usual,threshold,threshold_3,-0.8628854687551838,,,2564
heat,Usual,threshold,threshold_4,0.16120687733007488,,,2564
heat,WFH,coef,CR,0.1279121286672962,0.04517772014389097,0.004635777363814804,1213
